epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,37853.6,1.68599,2.16205,1.87279,0.84809,0.22217,0.2544,0.10356,1.92239,1.64399,1.93784,2.45555e-06,2.45555e-06,2.45555e-06
69,38402.3,1.68414,2.16426,1.87327,0.83856,0.22314,0.25447,0.10416,1.91858,1.64208,1.93582,2.32163e-06,2.32163e-06,2.32163e-06
70,38947,1.68188,2.16243,1.87107,0.83699,0.22269,0.25478,0.10419,1.91912,1.64138,1.93497,2.19036e-06,2.19036e-06,2.19036e-06
71,39489.8,1.6765,2.15315,1.87055,0.82987,0.22487,0.25518,0.1041,1.92188,1.64219,1.93633,2.06187e-06,2.06187e-06,2.06187e-06
72,40038.9,1.68267,2.16499,1.87439,0.82199,0.22454,0.25516,0.10432,1.92048,1.64127,1.93705,1.93627e-06,1.93627e-06,1.93627e-06
73,40582.1,1.67825,2.14419,1.86204,0.82187,0.227,0.2562,0.10483,1.91735,1.63749,1.93249,1.8137e-06,1.8137e-06,1.8137e-06
74,41133.5,1.67867,2.1646,1.86984,0.82163,0.22591,0.2567,0.10454,1.91956,1.63986,1.93512,1.69427e-06,1.69427e-06,1.69427e-06
75,41683,1.6812,2.1627,1.87047,0.82427,0.22613,0.25728,0.10545,1.91569,1.63788,1.93032,1.57811e-06,1.57811e-06,1.57811e-06
76,42231.8,1.68255,2.16198,1.86909,0.82464,0.22614,0.25744,0.10551,1.91639,1.63582,1.93058,1.46532e-06,1.46532e-06,1.46532e-06
77,42781.7,1.67785,2.15601,1.87479,0.79259,0.22714,0.25776,0.10559,1.91599,1.63472,1.93054,1.35602e-06,1.35602e-06,1.35602e-06
78,43328.7,1.67627,2.14651,1.8684,0.78508,0.22795,0.25817,0.10554,1.91621,1.63438,1.93087,1.25032e-06,1.25032e-06,1.25032e-06
79,43880.5,1.67957,2.15886,1.87015,0.78533,0.2278,0.25758,0.10541,1.91551,1.63403,1.93044,1.14832e-06,1.14832e-06,1.14832e-06
80,44427.3,1.67428,2.14972,1.86579,0.77939,0.22733,0.25806,0.10576,1.91235,1.63154,1.92737,1.05012e-06,1.05012e-06,1.05012e-06
81,44982.4,1.67722,2.14075,1.86527,0.78568,0.22724,0.25805,0.10571,1.91547,1.63241,1.92994,9.5582e-07,9.5582e-07,9.5582e-07
82,45528.2,1.67904,2.15831,1.86975,0.79013,0.22904,0.25856,0.10625,1.90834,1.62897,1.9247,8.65511e-07,8.65511e-07,8.65511e-07
83,46081.4,1.68488,2.15466,1.86923,0.7875,0.22781,0.25868,0.1066,1.90833,1.62848,1.9248,7.79283e-07,7.79283e-07,7.79283e-07
84,46636.5,1.67704,2.15036,1.86839,0.78667,0.22818,0.2587,0.10663,1.90816,1.62827,1.92438,6.9722e-07,6.9722e-07,6.9722e-07
85,47184.9,1.6791,2.14748,1.86853,0.78742,0.2279,0.25874,0.10633,1.91151,1.63023,1.92679,6.19405e-07,6.19405e-07,6.19405e-07
86,47729.8,1.67608,2.15488,1.86693,0.78834,0.22788,0.25901,0.10667,1.90927,1.62936,1.92472,5.45913e-07,5.45913e-07,5.45913e-07
87,48280.8,1.67903,2.15118,1.86948,0.78872,0.22772,0.25856,0.10643,1.91102,1.62914,1.92611,4.76817e-07,4.76817e-07,4.76817e-07
88,48831.3,1.67127,2.1451,1.86937,0.7879,0.22754,0.25872,0.10643,1.91049,1.62875,1.92515,4.12186e-07,4.12186e-07,4.12186e-07
89,49378.4,1.68307,2.15426,1.87143,0.78987,0.22771,0.25898,0.10661,1.90844,1.62714,1.92362,3.52082e-07,3.52082e-07,3.52082e-07
90,49932.8,1.67505,2.15329,1.86648,0.78953,0.22748,0.2589,0.1066,1.90747,1.62703,1.92293,2.96567e-07,2.96567e-07,2.96567e-07
91,50323.8,1.61127,2.27722,1.92224,0.7859,0.22716,0.25291,0.10393,1.89846,1.67421,1.91734,2.45693e-07,2.45693e-07,2.45693e-07
92,50694.2,1.60893,2.22397,1.90717,0.77422,0.22729,0.24937,0.10156,1.90369,1.70514,1.92322,1.99512e-07,1.99512e-07,1.99512e-07
93,51062.5,1.61841,2.21985,1.92065,0.76469,0.22538,0.24745,0.10038,1.90731,1.7165,1.92731,1.58068e-07,1.58068e-07,1.58068e-07
94,51432.6,1.61566,2.19838,1.90985,0.77117,0.22472,0.24694,0.10029,1.9051,1.71748,1.92641,1.21404e-07,1.21404e-07,1.21404e-07
95,51804,1.60466,2.18623,1.90208,0.77383,0.22553,0.24673,0.10046,1.90347,1.71643,1.92517,8.95549e-08,8.95549e-08,8.95549e-08
96,52175.7,1.60691,2.18144,1.90706,0.77521,0.22415,0.24664,0.10056,1.90191,1.71493,1.92418,6.25521e-08,6.25521e-08,6.25521e-08
97,52547.4,1.60994,2.17773,1.90758,0.77296,0.2247,0.24636,0.10048,1.90166,1.71527,1.92439,4.04226e-08,4.04226e-08,4.04226e-08
98,52917,1.6054,2.17635,1.90536,0.77365,0.22443,0.24679,0.10077,1.89969,1.71535,1.92278,2.3188e-08,2.3188e-08,2.3188e-08
99,53287.4,1.60768,2.173,1.90634,0.771,0.22437,0.24667,0.10058,1.90031,1.71503,1.92312,1.08654e-08,1.08654e-08,1.08654e-08
100,53659.8,1.61306,2.17566,1.90935,0.77413,0.22435,0.24682,0.10066,1.89934,1.71371,1.92221,3.46695e-09,3.46695e-09,3.46695e-09
